title,director,cast,country,release_year,rating,listed_in,description,runtime
Ek Mini Katha,Karthik Rapolu,"Santosh Shoban, Kavya Thapar, Shraddha Das, Brahmaji, Sudharshan, Sapthagiri, Posani Krishna Murali",India,2021,18+,"Comedy, Drama","Santhosh, a youth who is struggling with 'Micro Penis Syndrome' marries Amrutha in an unavoidable situation but continues to postpone their first night nuptials. He comes across a Godwoman who has a herbal medicine to address his problem which leads to a misunderstanding between him & his wife. How he resolves this situation with the help of a psychiatrist forms the crux of the story.",134
The Tracker,Rolf de Heer,David Gulpilil,Australia,2002,13+,"Arthouse, Drama","It's 1922; somewhere in Australia. When a Native Australian man is accused of murdering a white woman, three white men are given the mission of capturing him with the help of an experienced Native Australian. So they start their quest in the outback, not knowing that their inner wrestles against and for racism will be more dangerous that the actual hunting for the accused.",94
Ladies vs Ricky Bahl,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Parineeti Chopra, Aditi Sharma",India,2011,13+,"Comedy, International, Romance","Three very different girls (Parineeti Chopra, Dipannita Sharma & Aditi Sharma) each get duped for money by three men. It’s actually just one suave and charming con-man – Ricky Bahl (Ranveer Singh). An encounter brings these three women together who vow to take down Ricky Bahl. Enter Ishika Desai (Anushka Sharma), a young and ambitious girl with street-smart ways. It's the Ladies vs Ricky Bahl.",140
Bewakoofiyaan,Nupur Asthana,"Rishi Kapoor, Ayushmann Khurrana, Sonam Kapoor, Swedha Singh, Deepika Amin",India,2014,13+,"Comedy, Drama, International",Mohit - a marketing whiz kid vying for a step up the career ladder. Mayera – a financial brain with a penchant for shoes. They’re a young middle-class corporate couple that’s ambitious and likes the good life too.Their obstacle: Mayera’s wilful bureaucratic father V. K. Sehgal. Who gets the last laugh when recession strikes and the lack of money tests love? Mohit-Mayera or V. K. Sehgal?,118
Twilight,Robert Benton,"Paul Newman, Susan Sarandon, Gene Hackman, James Garner, Stockard Channing, Reese Witherspoon, Giancarlo Esposito, Liev Schreiber, Margo Martindale, John Spencer",United States,1998,R,"Drama, Suspense","In this urban detective thriller, Private eye Harry Ross (Paul Newman) lives in the garage of his movie-star friend suffering from cancer, Jack (Gene Hackman) and is attracted to Jack's wife Catherine (Susan Sarandon). However, Harry is drawn into a blackmail scheme that threatens to shatter all their lives.",94
Split Second,Tony Maylam,"Rutger Hauer, Kim Catrall, Michael J. Pollard, Alistair Duncan, Alun Armstrong, Pete Postlethwaite",United Kingdom,1992,R,"Horror, Science Fiction","In a flooded dystopian future, Detective Harley Stone hunts a serial killer who murdered his partner and has haunted him ever since. He soon discovers what he is hunting might not be human.",91
Little White Lie,"Lacey Schwartz, James Adolphus","Lacey Schwartz, Peggy Schwartz, Robert Schwartz",United States,2015,13+,Documentary,"Lacey Schwartz grew up convinced she was white. She has copper skin, black curls, and full lips - features which distinguish her instantly from her Jewish parents. But it wasn't until she was 18 that she learned the truth: her real father was black. Eight years in the making and put together by Lacey herself, Little White Lie tells the compelling story of an uncomfortable, unacknowledged truth.",66
Human experiments,Gregory Goodell,"Linda Haynes, Geoffrey Lewis, Ellen Travolta, Lurene Tuttle, Mercedes Shirley",United States,1979,18+,"Horror, Suspense",A demented prison doctor performs gruesome shock therapy experiments on inmates.,85
Heartburn,Mike Nichols,"Meryl Streep, Natasha Lyonne, Jack Nicholson, Kevin Spacey, Jeff Daniels, Stockard Channing, Catherine O'Hara, Richard Masur",United States,1986,R,"Comedy, Romance","Meryl Streep and Jack Nicholson are wonderful together in this lighthearted look at modern romance headed for failure, based on Nora Ephron's best-selling novel. She's a magazine writer who gives up her career for love and family. He's a playboy newspaper columnist who can't quite give up his old tricks. And if that combination doesn't give a relationship Heartburn, nothing will!",109
The Lie,Veena Sud,"Joey King, Peter Sarsgaard, Mireille Enos",United States,2020,16+,"Drama, Horror, Suspense","When their teenaged daughter confesses to impulsively killing her best friend, two desperate parents cover up the horrific crime with a web of lies and deception.",95
Sylvie's Love,Eugene Ashe,"Tessa Thompson, Nnamdi Asomugha, Eva Longoria, Aja Naomi King",United States,2020,13+,"Drama, Romance","When a young woman meets an aspiring saxophonist in her father’s record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success.",116
One Night in Miami...,Regina King,"Kingsley Ben-Adir,  Eli Goree,  Aldis Hodge,  Leslie Odom Jr",United States,2021,R,Drama,"One Night in Miami is a fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the civil rights movement and cultural upheaval of the 60s.",114
Love Games,Vikram Bhatt,"Patralekhaa, Tara-Alisha Berry, Gaurav Arora, Hiten Tejwani, Rukhsar Rehman, Dinesh Chaturvedi, Vishnu Sharma, Rinki Singhvi, Anant Kumar, Umar Sharif, Alisha Farrer, B.K. Tiwari, Paras Thakral, Ajay Kumar Singh, Soni Jha, Bhushan, Ajay Sharma",India,2016,16+,"International, Suspense",A pair of nymphomaniacs compete in seducing couples to sleep with them.,109
Knives Out,Rian Johnson,"Ana De Armas, Toni Collette, Christopher Plummer, Don Johnson, Michael Shannon, Jaeden Martell, Riki Lindhome, Chris Evans, Jamie Lee Curtis, Lakeith Stanfield, Daniel Craig, Katherine Langford",United States,2019,PG-13,Comedy,"When renowned crime novelist Harlan Thrombey is found dead at his estate, the inquisitive Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",130
I See You,Adam Randall,"Helen Hunt, Jon Tenney, Owen Teague, Libe Barer, Greg Alan Williams, Erika Alexander, Allison King, Judah Lewis",United States,2019,R,"Drama, Horror, Suspense","Helen Hunt stars in the mind-twisting psychological thriller. The lead investigator on a missing persons case struggles to balance work and home life. But when the family is put in mortal danger, an evil truth about their home is finally uncovered.",98
Black Box,"Emmanuel Osei-Kuffour,  Jr","Mamoudou Athie, Phylicia Rashad, Amanda Christine, Tosin Morohunfola",United States,2020,16+,"Horror, Science Fiction, Suspense","After losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is.",101
Beautiful Boy,Felix van Groeningen,"Steve Carrell, Timothee Chalamet, Maura Tierney, and Amy Ryan",United States,2018,R,Drama,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse, and recovery in a family coping with addiction over many years.",120
Koi Jaane Na,Amin Hajee,"Kunal Kapoor, Amyra Dastur, Elli Avram, Aamir Khan",India,2021,13+,Suspense,A heartbroken writer struggling with writer's block goes to a quiet hill station where he finds love again but uncovers a copycat serial killer who has mysteriously come alive and is killing everyone around him.,138
Evil Eye,"Elan Dassani, Rajeev Dassani","Sunita Mani, Omar Maskati, Sarita Choudhury, Bernard White",United States,2020,16+,"Drama, Horror",Welcome to the Blumhouse! A superstitious mother is convinced that her daughter’s new boyfriend is the reincarnation of a man who tried to kill her 30 years ago.,89
Devil's Island,"Sean King, Taylor King","Elle Alexander, Cliff Yates, Kristjan Sokoli, Pete Berwick",United States,2021,13+,"Horror, Suspense","A young woman inherits an island from her grandparents. When she moves in, she discovers the locals are less than welcoming and trying to hide a secret.",72
The Map of Tiny Perfect Things,Ian Samuels,"KATHRYN NEWTON, KYLE ALLEN, AL MADRIGAL, JERMAINE HARRIS, ANNA MIKAMI, JOSH HAMILTON, CLEO FRASER, JORJA FOX",United States,2021,PG-13,"Comedy, Romance, Young Adult Audience","Quick-witted teen Mark (Kyle Allen) is contentedly living the same day in an endless loop when his world is turned upside-down by the mysterious Margaret (Kathryn Newton), also stuck in the same loop. What follows is a love story with a fantastical twist, as the two struggle to figure out how – and whether – to escape their never-ending day.",99
Sound of Metal,Darius Marder,"Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",United States,2020,R,Drama,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",121
Duniyadari,Sanjay Jadhav,"Swapnil Joshi, Sai Tamhankar, Ankush Chaudhari, Urmilla Kanetkar, Jitendra Joshi, Sushant Shellar, Richa Pariyalli, Sandeep Kulkarni, Anand Abhyankar, Nagesh Bhonsle, Shrirang Deshmukh, Ajinkya Joshi, Varsha Usgaonkar, Rajesh Bhosle",India,2013,13+,Romance,"A young man in his 20s who is caught up in a bitter relationship with his parents. In spite of having all materialistic pleasures he craves for something better in his life. The void in his life is filled by the Digya gang he meets on college katta, soon comes bliss in his life in form of two beautiful girls. Life teaches Shreyas to face facts, through his friends and people around him.",146
Aashiqui,Mahesh Bhatt,"Rahul Roy, Anu Aggarwal, Avtar Gill, Tom Alter, Reema Lagoo, Homi Wadia, Mushtaq Khan, Javed Khan, Deepak Tijori, Anang Desai, Veerendra Saxena, Sunil Rege, Deepa Mehta",India,1990,ALL,"Drama, International, Romance",A small-time singer struggling for a break gets his share of fame when his girlfriend becomes a successful model. Their relationship suffers when he begins to feel burdened by her popularity.,145
Be Dune Saade Chaar,Girish Mohite,"Mohan Joshi, Sai Tamhankar, Sanjay Narvekar, Atul Parchure, Vandana Gupte, Mugdha Shah, Sushant Shelar, Resham Tipnis, Satish Phulekar, Uday Sabnis, Sneha Wagh",India,2009,ALL,Comedy,"Anant Kitturkar (Mohan Joshi) has actually achieved the extraordinary feat of marrying two women - Manorama (Vandana Gupte) and Anjali (Mugdha Shah) - who are unaware of each other's existence. Lies, deceit and fake identities have made Anant confident that this secret will go with him to his grave. But there's something else in store for him. And now it's pay-off time.",132
Aalas Motaapa Ghabraahat,Omar Iyer,Karunesh Talwar,India,2021,16+,Comedy,"Karunesh Talwar is his usual annoyed self in his second stand up special. The whole show is about the relationships he shares with his parents & girlfriend, an attempt at self-awareness & the fact that we’re all just modified versions of our parents. Written during the Covid lockdown and workshopped on Zoom shows, this special is different from any hour of comedy he’s come up with before.",52
Tula Shikwin Changlach Dhada,Girish Mohite,"Makarand Anaspure, Sanjay Narvekar, Rujuta Deshmukh, Kadambari Kadam, Mohan Joshi, Uday Sabnis, Jaywant Wadkar, Saurabh Parakhe, Vikas Samudre",India,2007,ALL,Comedy,A struggling actor (Sanjay Narvekar) falls in love with a woman (Rujuta Dehmukh) and marries her without realizing that her uncle (Mohan Joshi) is the director who had rejected him. He then comes up with a plan to teach him a lesson.,152
Ungli,Renzil D'Silva,"Emraan Hashmi, Kangana Ranaut, Sanjay Dutt, Randeep Hooda, Angad Bedi, Kader Khan",India,2014,13+,"Comedy, Drama, Suspense","Fed up with the corruption that was prevalent in the government entities, four ordinary friends band together to form the Ungli gang, aiming to cleanse Mumbai of crime. Consisting of Kalim(Angad Bedi), Gautam(Neil Bhoopalam), Maya(Kangana Ranaut) and Abhay(Randeep Hooda), they target people in the criminal regime and enforce their brand of justice on them, always staying a step ahead of police.",114
Sharing the Secret,Katt Shea,"Mare Winningham, Alison Lohman, Diane Ladd, Mary Crosby, Lawrence Monoson, Camryn Grimes, Tim Matheson",United States,2000,16+,"Drama, Young Adult Audience","Troubled by her parents' recent divorce, Beth Moss turns to bulimia in order to gain control over one aspect of her life. As she increases the frequency of her purges, her health deteriorates and her compulsions severely worry her friends and family, who only wish for her to recover.",90
Shaandaar,Vikas Bahl,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor, Niki Aneja Walia, Sanah Kapoor, Sushma Seth, Karan Johar, Vikas Verma, Shibani Dandekar, Anjana Sukhani, Tessa Vellara, Teena Vellara",India,2015,13+,"Comedy, Drama, Romance","A young wedding planner, Jagjinder Joginder (Shahid Kapoor), brings together Bipin Arora's flawed family in the backdrop of a destination wedding in London for his eldest daughter, while both the families try to save their empires. Will the Shaandar wedding succeed and also help the families save their dignifies empires.",143
LOL,Lisa Azuelos,"Miley Cyrus, Demi Moore, Ashley Greene, Thomas Jane, Jay Hernandez, Marlo Thomas, Gina Gershon",United States,2012,PG-13,"Comedy, Drama","Anne (Demi Moore) deals with life as a working mother and raising her teen, Lola, (Miley Cyrus) who seems to be growing up faster than expected.",97
Kuch Kuch Hota Hai,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Farida Jalal, Reema Lagoo, Himani Shivpuri, Johnny Lever, Anupam Kher, Salman Khan, Archana Puran Singh, Sana Saeed",India,1998,ALL,"Comedy, Drama, Music Videos and Concerts","'Kuch Kuch Hota Hai' is a Bollywood blockbuster of all times, a coming-of-age rom-com involving two love triangles set in different phases of life. Two best friends Anjali and Rahul are set apart, when a new girl named, Tina, enters Rahul's life. Years later, deceased Tina's daughter takes it upon herself to reunite the estranged lovers. But, Anjali is engaged to Aman. Who will Anjali choose now?",185
Kabhi Khushi Kabhie Gham,Karan Johar,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Kareena Kapoor, Farida Jalal, Alok Nath, Johnny Lever, Jaya Bhaduri Bachchan",India,2001,ALL,"Drama, Romance","Yashvardhan Raichand is a snobbish man, he breaks ties with his elder son Rahul, for marrying a girl with lower social status. When his younger son Rohan returns home, he is upset to know that his brother no longer lives with them. Rohan decides to reunite his family and goes to London and finds Rahul. But, the question is will he be successful in convincing his egoistic father for a reunion?",209
Kabhi Alvida Naa Kehna,Karan Johar,"Shah Rukh Khan, Rani Mukerji, Preity Zinta, Abhishek Bachchan, Arjun Rampal, Amitabh Bachchan",India,2006,13+,Romance,"The movie sheds light on two suffocating marriages which depart lives and drift them towards an extramarital affair outside to fill the gap. Starring Shahrukh Khan, Abhishek, Preity and Rani in a romantic drama depicting true lives bounded in a relationship which has released its warmth over a period. Will these four be able to find their way out of their marriages or will accept their fate?",192
Duniya,Ramesh Talwar,"Ashok Kumar, Amrita Singh, Prem Chopra, Amrish Puri, Pran, Satyendra Kapoor, Mac Mohan, Javed Khan, Sulbha Deshpande, Dilip Kumar",India,1984,ALL,"Drama, International","The story revolves around Mohan (Dilip Kumar), a genuine and conscientious man, who is falsely framed for the murder of his good friend who also happens to be his boss. The trio that killed his friend and framed him are Mohan's fellow employees. He serves his sentence and is finally released after many years and sets out for revenge by going after the ones that caused him his misery.",170
Prem Qaidi,K. Muralimohana Rao,"Karisma Kapoor, Harish, Paresh Rawal, Asrani, Dalip Tahil, Rama Vij, Shafi Inamdar, Bharat Bhushan, Anjana Mumtaz, J.D. Chakravarthy, Harish Patel, Narsing Yadav, Ali",India,1991,13+,"Action, Romance","A teenage couple fall in love, but their relationship is opposed by the girl's father because the boy is not from a wealthy family.",157
Ek Tha Tiger (English Subtitled),Kabir Khan,"Salman Khan, Katrina Kaif, Girish Karnad, Ranveer Shorey, Roshan Seth",India,2012,NOT_RATE,"Action, International, Romance",RAW agent Tiger is on a mission to retrieve information from a scientist in Dublin.,133
Suck,Rob Stefaniuk,"Rob Stefaniuk, Jessica Paré, Henry Rollins, Dave Foley, Paul Anthony, Mike Lobel",Canada,2009,R,"Arts, Entertainment, and Culture, Comedy, Horror","A rock'n'roll vampire spoof about a down and out band, The Winners, that will do anything for a record deal. When their disgruntled manager tells them that they are getting ""long in the tooth"", he doesn't know how prophetic he is.",91
Copper Bill,Brett Bentman,"Dustin Rhodes, Thom Hallum, Arthur RedCloud, Katy Harris, Billy Blair",United States,2020,16+,"Action, Drama, Suspense",Two thieves (AEW's Dustin Rhodes and Thom Hallum) attempt to steal 80 million dollars of hidden Texas drug money from the famed ranch belonging to a dead member of the Cowboy Mafia.,84
The Tomorrow War,Chris McKay,"Chris Pratt, J.K. Simmons, Yvonne Strahovski, Sam Richardson, Betty Gilpin, Edwin Hodge, Jasmine Mathews, Ryan Kiera Armstrong, Mary Lynn Rajskub",United States,2021,PG-13,"Action, Adventure, Comedy","Time travelers arrive from 2051 to deliver an urgent message: 30 years in the future mankind is losing a war against a deadly alien species. The only hope for survival is for soldiers and civilians to be transported to the future and join the fight. Determined to save the world for his daughter, Dan Forester teams up with a brilliant scientist and his estranged father to rewrite the planet’s fate.",138
Minority Report,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max Von Sydow, Lois Smith",United States,2002,PG-13,"Drama, Science Fiction","Set in Washington D.C. in 2054, where police utilize a psychic technology to arrest and convict murderers before they commit their crime. Tom Cruise plays the head of this Precrime unit and is himself accused of the future murder of a man he hasn't even met.",145
Our Friend,Gabriela Cowperthwaite,"Jason Segel, Dakota Johnson, Casey Affleck",United States,2021,R,"Arts, Entertainment, and Culture, Drama","After Nicole and Matthew receive life-altering news, the couple finds unexpected support from their friend, Dane, who puts his own life on hold to move into their family home.",126
"Lo and Behold, Reveries of the Connected World",Werner Herzog,"Elon Musk, Dr. Robert Kahn, Kevin Mitnick",United States,2016,PG-13,Documentary,"Oscar®-nominated documentarian Werner Herzog (Grizzly Man, Cave of Forgotten Dreams) chronicles the virtual world. He leads viewers on a journey that reveals the ways the online world has transformed how virtually everything in the real world works.",98
In the Year 2889,Larry Buchanan,"Paul Petersen, Quinn O'Hara, Charla Doherty, Neil Fletcher, Hugh Feagin, Bill Thurman",United States,1967,13+,"Horror, Science Fiction","After a nuclear war has destroyed most of humanity, a small group of survivors gathers in the safety of an isolated valley. But their haven is threatened by radioactive fallout, internal rivalries and a hideous, mutated monster lurking in the woods.",80
Zabardast,Mahesh Kothare,"Pushkar Jog, Manasi Naik, Sanjay Narvekar, Makarand Anaspure, Kishori Ambiye, Priya Berde, Abhiram Bhadkamkar, Vijay Chavan, Bharat Jadhav, Siddarth Jadhav, Rasika Joshi, Mahesh Kothare, Santosh Pawar, Aditya Redij, Sanjiv Talpade, Sunil Tawde, Yohana Vachhani",India,2007,ALL,"Arts, Entertainment, and Culture","Pushkar finds a magic coat that fulfils wishes once someone wears it. Using it, he decides to impress the girl he loves and enter a dance reality show with her. Will he win the competition?",142
Toofaan,Rakeysh Omprakash Mehra,"Farhan Akhtar, Mrunal Thakur, Paresh Rawal, Supriya Pathak Kapur, Hussain Dalal, Dr.Mohan Agashe, Darshan Kumaar",India,2021,13+,Sports,"An inspiring story about an orphan boy from the streets of Dongri, who grows up to become a local goon of his area and how his life changes after he meets the young and compassionate Ananya, who guides him towards the right path and makes him realize his true calling i.e boxing. Toofaan is set in Mumbai, It is a true cosmopolitan city and a melting pot for various cultures and religion.",161
Full 3 Dhamaal,Mahesh Kothare,"Makarand Anaspure, Prasad Oak, Priya Berde, Suchitra Bandekar, Abhiram Bhadkamkar, Kishori Godbole, Dilip Prabhavalkar, Siddarth Jadhav, Ameya Hunaswadkar, Rasika Joshi, Savita Malpekar, Kranti Redkar, Prema Sakhardande",India,2008,ALL,Comedy,"Three friends who had plenty of fun while in college end up living bothersome lives after marriage. They are held down by family traditions and customs. When they meet again, they decide to go back to their old ways while their husbands are away.",111
Anari,K. Muralimohana Rao,"Venkatesh Daggubati, Karisma Kapoor, Johnny Lever, Rakhee Gulzar, Suresh Oberoi, Gulshan Grover, Laxmikant Berde, Priya Arun, Beena Banerjee, Adi Irani, Shashi Kiran, Sudha Rani, Raju Shrestha, Subbiraj",India,1993,ALL,"Comedy, Drama, Romance","A rich girl appoints a simpleton, as her bodyguard. She soon falls in love with him, which creates havoc in his life.",171
At the Fork,John Papola,"John Papola, Lisa Versaci, Kim Sturla, Jayson Lusk, Temple Grandin, Malcolm DeKryger",United States,2016,16+,"Documentary, Special Interest","Filmmaker and omnivore John Papola and his vegetarian wife Lisa give a timely, unbiased look at how farm animals are raised for consumption. With unprecedented access to large-scale conventional farms, Papola asks the tough questions behind every hamburger, glass of milk and baby-back rib.",95
A Lonely Woman,Juven Cavazos,"Youlika Skafida, Beau Yotty",United States,2018,13+,Drama,"A beautiful, docile and timid woman, transforms into a vengeful gunfighter in search for a group of murderers, but her villainous enemy is closer than she thinks.",105
Jatra,Kedar Shinde,"Bharat Jadhav, Siddarth Jadhav, Viju Khote, Sanjay Khapre, Priya Berde, Vijay Chavan, Upendra Limaye, Kranti Redkar, Amir Tadwalkar, Sunil Tawde, Kushal Badrike, Munir Baghman, Mohan Bagode, Vandan Bakmis, Shankar Bhake, Jaiwant Bhalekar, Dilip Budhkar, Kishore Chougule, Kamlakar Satputhe",India,2005,ALL,Comedy,"In this comedy drama, when two villages (Hyalagaad and Tyalagaad) fight over the right to host a religious fair, they conduct a race to make a decision. But both sides are willing to do anything to win.",138
Separate Lives,David Madden,"James Belushi, Linda Hamilton, Vera Miles, Elisabeth Moss",United States,1995,R,"Drama, Suspense","When a murder detective (James Belushi) is asked by an attractive psychology professor to watch over her, he becomes aware of her split personality. Despite a seemingly dark side to her character, he begins to develop feelings for her, even choosing to ignore signs that point to her as a suspect in a murder case.",102
Secret Window,David Koepp,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton",United States,2004,PG-13,"Horror, Suspense",A recently divorced writer living in a remote cabin is visited by a psychotic stranger who claims he plagiarized his work. Things start weird and go downhill from there as the man’s quest for retribution reaches murderous heights.,96
Patriot Games (4K UHD),Phillip Noyce,"Harrison Ford, Anne Archer, Patrick Bergin, Sean Bean, James Earl Jones, Thora Birch, James Fox, Samuel L. Jackson, Polly Walker, J.E. Freeman",United States,1992,R,Drama,Jack Ryan is caught in the middle of a terrorist attack. Ryan helps to thwart Holmes’ assailants and becomes a local hero. But Ryan’s act marks him as a target. Now he must return to action to save his family.,117
Finding Ophelia,Stephen Rutterford,"Jimmy Levar, Christina Chu-Ryan, Ira Grossman, Alexandra Lyon",United States,2021,16+,"Romance, Suspense",Finding the girl of your dreams can be a nightmare.,73
Emerald Run,Eric Etebari,"David Chokachi, Yancy Butler, Sean Burgos, Michael Pare, Chris Mulkey, John Schneider, Vernon Wells, Steven Williams, Stephen Cloud, Jonathan Jose Quintana, Adam Gifford, Manuel Soro, Marialisa Caruso, Anthony Caruso",United States,2021,16+,"Action, Drama, Suspense","From emotional turmoil in medical conflict to the intrigue of Sicilian mafia activity in collaboration with Mexican cartels, the varied relationships constructed by these engaging storylines make for a lively depiction of a man's exaggerated reality.",90
Dawn of the Beast,Bruce Wemple,"Adrian Burke, Ariella Mastroianni, Grant Schumacher, Anna Shields, Lejon Woods, Chris Cimperman, Willard Morgan, Francesca Anderson",United States,2021,16+,"Horror, Suspense","A group of graduate students get more than they bargained for while searching for the legendary Bigfoot. Not only is he real, but there's something far more evil lurking in the shadows, the Wendigo.",83
The Florentine,Nick Stagliano,"Jeremy Davies, Virginia Madsen, Luke Perry, Mary Stuart Masterson",United States,1999,R,"Comedy, Drama",A seedy slice of life story of a bartender in a Pennsylvania steel town that finds his life full of characters struggling to find their own place in the world and happiness along the way.,104
Tracers,Daniel Benmayor,"Taylor Lautner, Marie Avgeropoulos, Adam Rayner, Rafi Gavron",United States,2015,PG-13,"Action, Suspense","Cam (Taylor Lautner) is in trouble with the mob. To pay off his debt, he joins a crew that uses parkour to pull off heists - but he must use every ounce of skill to stay alive.",94
Mere Dad Ki Maruti,Ashima Chibber,"Saqib Saleem, Rhea Chakraborty, Ram Kapoor, Prabal Panjabi, Benazir Shaikh, Ravi Kishan",India,2013,13+,"Comedy, International","""When Samir lands a lucky date with Jasleen, he decides to sneak out his Dad’s brand new Maruti. After a mad night at a pub, a fun drive and one peck on the cheek, Sameer ends up losing the car! The car was a gift for his sister on her wedding and is the only thing his stingy dad ever spent money on. With only three days to find it, he must ensure his Dad doesn’t get a whiff of what he has done.""",101
Let's Dream,Eric Gorlow,"Eric Gorlow, Kara Schaaf, Douglas M. Eames",United States,2021,16+,"Horror, Science Fiction, Suspense","Let, a reclusive, insomniac photographer, is hired to photograph a mysterious client in the forest late one night, and soon finds himself pulled into a bizarre, otherworldly quest.",95
The Dangerous Lives of Altar Boys,Peter Care,"Emile Hirsch, Kieran Culkin, Vincent D'Onofrio, Jena Malone, Jake Richardson",United States,2002,R,"Comedy, Drama","A group of Catholic school friends, after being caught drawing an obscene comic book, plan a heist that will outdo their previous prank and make them local legends.",105
Raja The Great (Malayalam),Anil Ravipudi,"Ravi Teja, Mehreen, Raadhika, Vivan Bhatena, Rajendra Prasad, Prakash Raj, Sampath Raj, Sai Kumar",India,2017,13+,"Action, Comedy","Raja (Raviteja), a young man with visual impairment, takes it upon himself to protect Lucky (Mehreen) after a gangster attempts to kill her. Impressed by his courage, Lucky falls in love with Raja.",150
Nancy,Christina Choe,"Andrea Riseborough, Steve Buscemi, Ann Dowd, John Leguizamo, J. Smith-Cameron, Virginia Kull, Olli Haaskivi, Owen Campbell",United States,2018,13+,"Horror, Suspense","A serial imposter, Nancy becomes increasingly convinced she was kidnapped as a child, and when she meets a couple whose daughter went missing thirty years ago, the power of emotion threatens to overcome all rationality.",85
Chashme Bahaddar,Vijay Patkar,"Sanjay Narvekar, Dipali Sayyad, Vijay Chavan, Johnny Lever, Rajpal Yadav, Deepak Shirke, Sahil Shirvaikar, Jaiwant Bhalekar, Kishori Ambiye, Purnima Ahire, Vijay Kadam, Jayraj Nair, Arun Nalawade, Sunil Pal, Nisha Parulekar, Kamlakar Satputhe, Sunil Tawde",India,2006,ALL,Comedy,"Rajaram (Sanjay Narvekar), an ordinary librarian, finds himself standing against a powerful builder and his goons, who want to vacate the chawl in which he resides. His life changes after receiving a pair of magical eyeglasses from his step-grandpa's spirit.",146
Permanent Midnight,David Veloz,"Ben Stiller, Elizabeth Hurley, Janeane Garofalo, Maria Bello, Owen Wilson, Cheryl Ladd",United States,1998,R,Drama,Based on an allegedly true story of TV writer Jerry Stahl with a $5000 a week job and a $6000 a week cocaine habit.,88
The Priest (Telugu),Jofin T. Chacko,"Mammootty, Manju Warrier, Ameya Mathew, Nikhila Vimal, Baby Monica",India,2021,13+,Suspense,"Father Carmen, a priest, joins hands with the police to investigate a series of mysterious suicides. However, he soon stumbles upon a disturbing fact that has serious consequences.",145
He Who Lives In Hidden Lakes,Zach Lona,"Kevin K. Gomez, Sarah Kopp, Lucas Lona, Rachel O'Connell, Charlie Bain, Arash Fakhrabadi, Helen Liaskos-Lona, Moriah Martel, Emily Camp, Vincent Banks, Katherine Bellantone, Eddie Lynch, Ali de Rosas, Dom Udell, Daphne Nitsuga, Patrys Jean Destin, Shannon Angel, John McDonnell, Derek Johnson, Pete Laughlin, Nora King, Alan Prince, Chrissy Rejcek, Jordan Bridgman, Jeremiah Davis, Trina Love, Martin Davis, Nick Alonzo, Anthony Gibson, Zach Lona",United States,2019,13+,"Action, Science Fiction, Suspense","The fanatic beliefs of an internet mystic, a cult leader, and a rookie cop gone rogue are tested on the hunt for the ""Hidden Man"": an elusive forest-dwelling cryptid that terrorizes their idyllic suburb.",96
Conjuring the Genie,Scott Jeffrey,"Sarah T. Cohen, Megan Purvis, Barbara Dabson, Nicola Wright, Amanda-Jade Tyler",United Kingdom,2021,18+,"Horror, Suspense",A young lady unleashes a demonic Genie from an amulet.,91
Montana,Jennifer Leitzes,"Philip Seymour Hoffman, Kyra Sedgwick, Stanley Tucci, Robin Tunney, Robbie Coltrane, John Ritter, Ethan Embry",United States,1998,R,"Action, Adventure, Comedy",A hit woman and her sickly boyfriend try to find out who's plotting to kill her boss.,96
The Witch of Kings Cross,Sonia Bible,,Australia,2020,16+,Documentary,"Allegations of satanic rituals, obscene art and sex orgies in 1950s Sydney. Inspired by the work of Aleister Crowley, bohemian artist Rosaleen Norton advocated a pantheist vision of witchcraft, and a sexual magic freed from religious and moral rules. Eventually the relentless scandals led to the downfall of her high society lover.",75
